station_id,name,station_class,latitude_deg,longitude_deg,altitude_m,region,country_code,enabled
CIV_PILOT_001,Synthetic Pilot Civilian 001,civilian,-62,-170,25,region_01,ZZ,true
CIV_PILOT_002,Synthetic Pilot Civilian 002,civilian,-48.5,-170,100,region_02,ZZ,true
CIV_PILOT_003,Synthetic Pilot Civilian 003,civilian,-35,-170,175,region_03,ZZ,true
CIV_PILOT_004,Synthetic Pilot Civilian 004,civilian,-21.5,-170,250,region_04,ZZ,true
CIV_PILOT_005,Synthetic Pilot Civilian 005,civilian,-8,-170,325,region_05,ZZ,true
CIV_PILOT_006,Synthetic Pilot Civilian 006,civilian,5.5,-170,400,region_06,ZZ,true
CIV_PILOT_007,Synthetic Pilot Civilian 007,civilian,19,-170,475,region_07,ZZ,true
CIV_PILOT_008,Synthetic Pilot Civilian 008,civilian,32.5,-170,550,region_08,ZZ,true
CIV_PILOT_009,Synthetic Pilot Civilian 009,civilian,46,-170,625,region_09,ZZ,true
CIV_PILOT_010,Synthetic Pilot Civilian 010,civilian,59.5,-170,700,region_10,ZZ,true
CIV_PILOT_011,Synthetic Pilot Civilian 011,civilian,-62,-98,25,region_01,ZZ,true
CIV_PILOT_012,Synthetic Pilot Civilian 012,civilian,-48.5,-98,100,region_02,ZZ,true
CIV_PILOT_013,Synthetic Pilot Civilian 013,civilian,-35,-98,175,region_03,ZZ,true
CIV_PILOT_014,Synthetic Pilot Civilian 014,civilian,-21.5,-98,250,region_04,ZZ,true
CIV_PILOT_015,Synthetic Pilot Civilian 015,civilian,-8,-98,325,region_05,ZZ,true
CIV_PILOT_016,Synthetic Pilot Civilian 016,civilian,5.5,-98,400,region_06,ZZ,true
CIV_PILOT_017,Synthetic Pilot Civilian 017,civilian,19,-98,475,region_07,ZZ,true
CIV_PILOT_018,Synthetic Pilot Civilian 018,civilian,32.5,-98,550,region_08,ZZ,true
CIV_PILOT_019,Synthetic Pilot Civilian 019,civilian,46,-98,625,region_09,ZZ,true
CIV_PILOT_020,Synthetic Pilot Civilian 020,civilian,59.5,-98,700,region_10,ZZ,true
CIV_PILOT_021,Synthetic Pilot Civilian 021,civilian,-62,-26,25,region_01,ZZ,true
CIV_PILOT_022,Synthetic Pilot Civilian 022,civilian,-48.5,-26,100,region_02,ZZ,true
CIV_PILOT_023,Synthetic Pilot Civilian 023,civilian,-35,-26,175,region_03,ZZ,true
CIV_PILOT_024,Synthetic Pilot Civilian 024,civilian,-21.5,-26,250,region_04,ZZ,true
CIV_PILOT_025,Synthetic Pilot Civilian 025,civilian,-8,-26,325,region_05,ZZ,true
