design_id,design_index,split,doe_stratum,maximum_boundary_margin,mean_boundary_margin,minimum_boundary_margin,non_breach_realization_count,rank,ranking_margin,ranking_type
D001,1,train,pilot_anchor,0,-0.060000000000000032,-0.15000000000000002,2,1,-0.060000000000000032,nearest_by_mean_margin
D000,0,test,pilot_anchor,0.14999999999999991,0.14999999999999991,0.14999999999999991,5,2,0.14999999999999991,nearest_by_mean_margin
D083,83,train,global,-0.13333333333333341,-0.18000000000000008,-0.23333333333333339,0,3,-0.18000000000000008,nearest_by_mean_margin
D065,65,train,global,-0.125,-0.20000000000000001,-0.27500000000000002,0,4,-0.20000000000000001,nearest_by_mean_margin
D067,67,validation,global,-0.13333333333333341,-0.20000000000000009,-0.30000000000000004,0,5,-0.20000000000000009,nearest_by_mean_margin
D026,26,test,transition,-0.21666666666666667,-0.25,-0.30000000000000004,0,6,-0.25,nearest_by_mean_margin
D014,14,train,transition,-0.13333333333333341,-0.28888888888888892,-0.41111111111111115,0,7,-0.28888888888888892,nearest_by_mean_margin
D023,23,train,transition,-0.20000000000000007,-0.29000000000000004,-0.45000000000000007,0,8,-0.29000000000000004,nearest_by_mean_margin
D009,9,train,transition,-0.20000000000000007,-0.30000000000000004,-0.5,0,9,-0.30000000000000004,nearest_by_mean_margin
D034,34,test,transition,-0.20000000000000007,-0.31000000000000005,-0.40000000000000002,0,10,-0.31000000000000005,nearest_by_mean_margin
D018,18,train,transition,-0.20000000000000007,-0.32000000000000001,-0.40000000000000002,0,11,-0.32000000000000001,nearest_by_mean_margin
D066,66,validation,global,-0.22000000000000008,-0.33200000000000002,-0.52000000000000002,0,12,-0.33200000000000002,nearest_by_mean_margin
D022,22,train,transition,-0.21666666666666667,-0.33333333333333337,-0.38333333333333336,0,13,-0.33333333333333337,nearest_by_mean_margin
D086,86,train,global,-0.32000000000000006,-0.34000000000000002,-0.36000000000000004,0,14,-0.34000000000000002,nearest_by_mean_margin
D064,64,validation,global,-0.22222222222222232,-0.36888888888888893,-0.60000000000000009,0,15,-0.36888888888888893,nearest_by_mean_margin
D008,8,train,transition,-0.30000000000000004,-0.37,-0.45000000000000007,0,16,-0.37,nearest_by_mean_margin
D081,81,test,global,-0.32500000000000007,-0.40000000000000002,-0.5,0,17,-0.40000000000000002,nearest_by_mean_margin
D054,54,train,global,-0.13333333333333341,-0.40000000000000008,-0.63333333333333341,0,18,-0.40000000000000008,nearest_by_mean_margin
D099,99,validation,global,-0.30000000000000004,-0.40400000000000008,-0.48000000000000004,0,19,-0.40400000000000008,nearest_by_mean_margin
D080,80,train,global,-0.20000000000000007,-0.41000000000000003,-0.65000000000000002,0,20,-0.41000000000000003,nearest_by_mean_margin
D079,79,train,global,-0.40000000000000002,-0.41714285714285715,-0.48571428571428577,0,21,-0.41714285714285715,nearest_by_mean_margin
D084,84,train,global,-0.33333333333333337,-0.42666666666666675,-0.53333333333333344,0,22,-0.42666666666666675,nearest_by_mean_margin
D015,15,train,transition,-0.30000000000000004,-0.4333333333333334,-0.63333333333333341,0,23,-0.4333333333333334,nearest_by_mean_margin
D091,91,train,global,-0.26666666666666672,-0.44000000000000006,-0.66666666666666674,0,24,-0.44000000000000006,nearest_by_mean_margin
D044,44,train,global,-0.40000000000000002,-0.45500000000000007,-0.57500000000000007,0,25,-0.45500000000000007,nearest_by_mean_margin
D001,1,train,pilot_anchor,0,-0.060000000000000032,-0.15000000000000002,2,1,0,nearest_by_best_realization
D065,65,train,global,-0.125,-0.20000000000000001,-0.27500000000000002,0,2,-0.125,nearest_by_best_realization
D014,14,train,transition,-0.13333333333333341,-0.28888888888888892,-0.41111111111111115,0,3,-0.13333333333333341,nearest_by_best_realization
D054,54,train,global,-0.13333333333333341,-0.40000000000000008,-0.63333333333333341,0,4,-0.13333333333333341,nearest_by_best_realization
D067,67,validation,global,-0.13333333333333341,-0.20000000000000009,-0.30000000000000004,0,5,-0.13333333333333341,nearest_by_best_realization
D083,83,train,global,-0.13333333333333341,-0.18000000000000008,-0.23333333333333339,0,6,-0.13333333333333341,nearest_by_best_realization
D000,0,test,pilot_anchor,0.14999999999999991,0.14999999999999991,0.14999999999999991,5,7,0.14999999999999991,nearest_by_best_realization
D009,9,train,transition,-0.20000000000000007,-0.30000000000000004,-0.5,0,8,-0.20000000000000007,nearest_by_best_realization
D018,18,train,transition,-0.20000000000000007,-0.32000000000000001,-0.40000000000000002,0,9,-0.20000000000000007,nearest_by_best_realization
D023,23,train,transition,-0.20000000000000007,-0.29000000000000004,-0.45000000000000007,0,10,-0.20000000000000007,nearest_by_best_realization
D034,34,test,transition,-0.20000000000000007,-0.31000000000000005,-0.40000000000000002,0,11,-0.20000000000000007,nearest_by_best_realization
D080,80,train,global,-0.20000000000000007,-0.41000000000000003,-0.65000000000000002,0,12,-0.20000000000000007,nearest_by_best_realization
D022,22,train,transition,-0.21666666666666667,-0.33333333333333337,-0.38333333333333336,0,13,-0.21666666666666667,nearest_by_best_realization
D026,26,test,transition,-0.21666666666666667,-0.25,-0.30000000000000004,0,14,-0.21666666666666667,nearest_by_best_realization
D066,66,validation,global,-0.22000000000000008,-0.33200000000000002,-0.52000000000000002,0,15,-0.22000000000000008,nearest_by_best_realization
D064,64,validation,global,-0.22222222222222232,-0.36888888888888893,-0.60000000000000009,0,16,-0.22222222222222232,nearest_by_best_realization
D091,91,train,global,-0.26666666666666672,-0.44000000000000006,-0.66666666666666674,0,17,-0.26666666666666672,nearest_by_best_realization
D008,8,train,transition,-0.30000000000000004,-0.37,-0.45000000000000007,0,18,-0.30000000000000004,nearest_by_best_realization
D015,15,train,transition,-0.30000000000000004,-0.4333333333333334,-0.63333333333333341,0,19,-0.30000000000000004,nearest_by_best_realization
D041,41,train,global,-0.30000000000000004,-0.53333333333333344,-0.80000000000000004,0,20,-0.30000000000000004,nearest_by_best_realization
D043,43,train,global,-0.30000000000000004,-0.56000000000000005,-0.70000000000000007,0,21,-0.30000000000000004,nearest_by_best_realization
D099,99,validation,global,-0.30000000000000004,-0.40400000000000008,-0.48000000000000004,0,22,-0.30000000000000004,nearest_by_best_realization
D086,86,train,global,-0.32000000000000006,-0.34000000000000002,-0.36000000000000004,0,23,-0.32000000000000006,nearest_by_best_realization
D081,81,test,global,-0.32500000000000007,-0.40000000000000002,-0.5,0,24,-0.32500000000000007,nearest_by_best_realization
D084,84,train,global,-0.33333333333333337,-0.42666666666666675,-0.53333333333333344,0,25,-0.33333333333333337,nearest_by_best_realization
