distance_metric,ground_station_failure_probability_difference,neighbor_design_id,neighbor_doe_stratum,neighbor_maximum_boundary_margin,neighbor_mean_boundary_margin,neighbor_mean_temporal_breach_fraction,neighbor_non_breach_realization_count,neighbor_rank,neighbor_split,normalized_euclidean_distance,satellite_edge_failure_probability_difference,satellite_node_failure_probability_difference,source_design_id,source_mean_boundary_margin,source_non_breach_realization_count,source_split
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.050000000000000003,D001,pilot_anchor,0,-0.060000000000000032,0.23636363636363639,2,1,train,0.82942124473740875,0.050000000000000003,0.050000000000000003,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.14225554701097881,D008,transition,-0.30000000000000004,-0.37,0.90909090909090895,0,2,train,0.98207243200465222,0.063640744196080359,0.054581716011687313,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.11858248464085314,D022,transition,-0.21666666666666667,-0.33333333333333337,0.94545454545454555,0,3,train,0.99312028088692772,0.050888522936617074,0.05009143218672274,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.068928965327022737,D037,transition,-0.70000000000000007,-0.76000000000000001,1,0,4,train,1.0373626521216046,0.071366646884006457,0.053382022163565232,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.064104208722681494,D028,transition,-0.80000000000000004,-0.80000000000000004,1,0,5,train,1.0402562991359789,0.077570300331564257,0.057427718725693945,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.10269077409765726,D005,transition,-0.80000000000000004,-0.80000000000000004,1,0,6,train,1.0413502584535188,0.060678159888755655,0.09350879721803472,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.12208166639288334,D029,transition,-0.73333333333333339,-0.76000000000000001,1,0,7,train,1.0473053729215622,0.096328630514610242,0.06463152066046024,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.1499993331055022,D023,transition,-0.20000000000000007,-0.29000000000000004,0.78181818181818186,0,8,train,1.0563240073926226,0.080172957738421563,0.072424408656165409,D000,0.14999999999999991,5,test
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.068582484640853134,D022,transition,-0.21666666666666667,-0.33333333333333337,0.94545454545454555,0,1,train,0.3932311802307627,0.00088852293661707132,9.1432186722736897e-05,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.014104208722681491,D028,transition,-0.80000000000000004,-0.80000000000000004,1,0,2,train,0.39329477708806027,0.027570300331564254,0.0074277187256939423,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.052690774097657253,D005,transition,-0.80000000000000004,-0.80000000000000004,1,0,3,train,0.47388323473160598,0.010678159888755652,0.043508797218034717,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.018928965327022734,D037,transition,-0.70000000000000007,-0.76000000000000001,1,0,4,train,0.52124109899026161,0.021366646884006454,0.0033820221635652292,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.092255547010978808,D008,transition,-0.30000000000000004,-0.37,0.90909090909090895,0,5,train,0.55147195883943845,0.013640744196080357,0.0045817160116873104,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.07208166639288334,D029,transition,-0.73333333333333339,-0.76000000000000001,1,0,6,train,0.55478333668340118,0.046328630514610239,0.014631520660460237,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.0040919485407684003,D038,transition,-0.40000000000000002,-0.49333333333333346,0.92727272727272736,0,7,train,0.56150311769146488,0.041521670776856007,0.031112073029667953,D001,-0.060000000000000032,2,train
"Euclidean distance over 11 DOE-range-normalized architecture, failure, station-total, and composition-fraction variables.",0.0999993331055022,D023,transition,-0.20000000000000007,-0.29000000000000004,0.78181818181818186,0,8,train,0.58827476023444047,0.03017295773842156,0.022424408656165407,D001,-0.060000000000000032,2,train
