breach_median,breach_q25,breach_q75,design_maximum,design_minimum,grouped_summary,near_boundary_maximum,near_boundary_minimum,non_breach_maximum,non_breach_median,non_breach_minimum,non_breach_q25,non_breach_q75,parameter,parameter_type,quartile_group_summary,small_sample_limitation,spearman_design_non_breach_fraction,spearman_run_boundary_margin,spearman_run_overall_service_mean,spearman_run_overall_service_minimum,unique_design_values
5,5,6,6,4,,6,6,6,6,6,6,6,num_planes,numeric,"[{""design_count"":61,""group"":""(3.999, 5.0]"",""mean_boundary_margin"":-0.6509635701275045,""mean_non_breach_fraction"":0.0},{""design_count"":39,""group"":""(5.0, 6.0]"",""mean_boundary_margin"":-0.6297061457061458,""mean_non_breach_fraction"":0.035897435897435895}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",0.1617456099041284,0.079326017398628643,0.20416559826709332,0.079326017398628643,3
7,6,8,8,5,,8,8,8,8,8,8,8,sats_per_plane,numeric,"[{""design_count"":45,""group"":""(4.999, 6.0]"",""mean_boundary_margin"":-0.766974250440917,""mean_non_breach_fraction"":0.0},{""design_count"":27,""group"":""(6.0, 7.0]"",""mean_boundary_margin"":-0.6451557907113463,""mean_non_breach_fraction"":0.0},{""design_count"":28,""group"":""(7.0, 8.0]"",""mean_boundary_margin"":-0.4405096371882086,""mean_non_breach_fraction"":0.049999999999999996}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",0.18457866366712267,0.53389639746572393,0.56777720639577978,0.53389639746572393,4
35,30,40,48,20,,48,48,48,48,48,48,48,configured_satellite_count,numeric,"[{""design_count"":39,""group"":""(19.999, 30.0]"",""mean_boundary_margin"":-0.7513447293447295,""mean_non_breach_fraction"":0.0},{""design_count"":16,""group"":""(30.0, 35.0]"",""mean_boundary_margin"":-0.5952757936507937,""mean_non_breach_fraction"":0.0},{""design_count"":22,""group"":""(35.0, 40.0]"",""mean_boundary_margin"":-0.5933326118326119,""mean_non_breach_fraction"":0.0},{""design_count"":23,""group"":""(40.0, 48.0]"",""mean_boundary_margin"":-0.5385714285714287,""mean_non_breach_fraction"":0.0608695652173913}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",0.219140318797274,0.39215337541491824,0.50966399299064025,0.39215337541491824,11
709.07389970207328,603.55852321569535,825.55198880828971,1200,300,,800,800,1200,1200,800,1000,1200,altitude_km,numeric,"[{""design_count"":25,""group"":""(299.999, 608.731]"",""mean_boundary_margin"":-0.7993828571428573,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(608.731, 712.377]"",""mean_boundary_margin"":-0.6755555555555557,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(712.377, 831.322]"",""mean_boundary_margin"":-0.6110679365079364,""mean_non_breach_fraction"":0.016},{""design_count"":25,""group"":""(831.322, 1200.0]"",""mean_boundary_margin"":-0.4846863492063493,""mean_non_breach_fraction"":0.04}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",0.17882169253133681,0.66272470270787187,0.68229348820955715,0.66272470270787187,100
58.076505239256655,55,70.612679425645837,98,30,,60,60,98,98,60,79,98,inclination_deg,numeric,"[{""design_count"":25,""group"":""(29.999, 55.088]"",""mean_boundary_margin"":-0.7066266666666668,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(55.088, 58.15]"",""mean_boundary_margin"":-0.622,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(58.15, 70.774]"",""mean_boundary_margin"":-0.6624571428571429,""mean_non_breach_fraction"":0.016},{""design_count"":25,""group"":""(70.774, 98.0]"",""mean_boundary_margin"":-0.579608888888889,""mean_non_breach_fraction"":0.04}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",0.15922479471968348,0.26015529260699544,0.31496823297379506,0.26015529260699544,100
1,1,1,1,1,,1,1,1,1,1,1,1,phasing_factor,numeric,[],"Seven non-breach runs from two designs; descriptive, non-causal evidence only.",,,,,1
0.083697599231808806,0.058715386125204064,0.12354551532608826,0.20000000000000001,0,,0.050000000000000003,0.050000000000000003,0.050000000000000003,0,0,0,0.025000000000000001,satellite_node_failure_probability,numeric,"[{""design_count"":25,""group"":""(-0.001, 0.0575]"",""mean_boundary_margin"":-0.6341542857142858,""mean_non_breach_fraction"":0.055999999999999994},{""design_count"":25,""group"":""(0.0575, 0.0829]"",""mean_boundary_margin"":-0.6695022222222223,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(0.0829, 0.122]"",""mean_boundary_margin"":-0.6288000000000001,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(0.122, 0.2]"",""mean_boundary_margin"":-0.6382361904761905,""mean_non_breach_fraction"":0.0}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",-0.2057674270223602,0.049817106631257449,-0.013256745477686982,0.049817106631257449,100
0.088740029345207444,0.063640744196080359,0.15519901451729587,0.25,0,,0.050000000000000003,0.050000000000000003,0.050000000000000003,0,0,0,0.025000000000000001,satellite_edge_failure_probability,numeric,"[{""design_count"":25,""group"":""(-0.001, 0.0618]"",""mean_boundary_margin"":-0.6351784126984127,""mean_non_breach_fraction"":0.055999999999999994},{""design_count"":25,""group"":""(0.0618, 0.0886]"",""mean_boundary_margin"":-0.6507009523809524,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(0.0886, 0.151]"",""mean_boundary_margin"":-0.6055333333333334,""mean_non_breach_fraction"":0.0},{""design_count"":25,""group"":""(0.151, 0.25]"",""mean_boundary_margin"":-0.6792800000000001,""mean_non_breach_fraction"":0.0}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",-0.21311626370173023,-0.034568856773217964,-0.12905310925458088,-0.034568856773217964,100
5,4,10,30,1,,12,12,12,8,8,8,10,civilian_count,numeric,"[{""design_count"":45,""group"":""(0.999, 4.0]"",""mean_boundary_margin"":-0.65230405643739,""mean_non_breach_fraction"":0.0},{""design_count"":22,""group"":""(10.0, 30.0]"",""mean_boundary_margin"":-0.6445894660894661,""mean_non_breach_fraction"":0.018181818181818184},{""design_count"":12,""group"":""(4.0, 5.0]"",""mean_boundary_margin"":-0.5533333333333333,""mean_non_breach_fraction"":0.0},{""design_count"":21,""group"":""(5.0, 10.0]"",""mean_boundary_margin"":-0.6710793650793652,""mean_non_breach_fraction"":0.047619047619047616}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",0.13429704919127547,0.055804666216739893,0.05612987824516346,0.055804666216739893,24
5,3,9,35,1,,4,4,6,6,4,5,6,government_count,numeric,"[{""design_count"":28,""group"":""(0.999, 3.0]"",""mean_boundary_margin"":-0.6586428571428573,""mean_non_breach_fraction"":0.0},{""design_count"":28,""group"":""(3.0, 5.0]"",""mean_boundary_margin"":-0.6035374149659865,""mean_non_breach_fraction"":0.014285714285714287},{""design_count"":20,""group"":""(5.0, 9.0]"",""mean_boundary_margin"":-0.6824666666666668,""mean_non_breach_fraction"":0.05},{""design_count"":24,""group"":""(9.0, 35.0]"",""mean_boundary_margin"":-0.6365390211640212,""mean_non_breach_fraction"":0.0}]","Seven non-breach runs from two designs; descriptive, non-causal evidence only.",-0.0056941069484263461,0.0010709360106171742,-0.068445981906176012,0.0010709360106171742,25
