scope,split,gate,required,maximum_physically_available,feasible,applicability
stage_a_augmentation_only,train,minimum_non_breach_designs,12,20,True,not_applicable_discovery_only
stage_a_augmentation_only,train,minimum_breach_designs,40,20,False,not_applicable_discovery_only
stage_a_augmentation_only,train,minimum_non_breach_runs,50,100,True,not_applicable_discovery_only
stage_a_augmentation_only,train,minimum_breach_runs,200,100,False,not_applicable_discovery_only
stage_a_augmentation_only,train,minimum_boundary_region_designs,10,8,False,not_applicable_discovery_only
stage_a_augmentation_only,train,minimum_distinct_run_margin_values,30,100,True,not_applicable_discovery_only
stage_a_augmentation_only,train,joint_minimum_class_design_counts,52,20,False,not_applicable_discovery_only
stage_a_augmentation_only,train,joint_minimum_class_run_counts,250,100,False,not_applicable_discovery_only
stage_a_augmentation_only,train,majority_to_minority_ratio_at_minimum_counts,12,4,False,not_applicable_discovery_only
stage_a_augmentation_only,validation,minimum_non_breach_designs,4,5,True,not_applicable_discovery_only
stage_a_augmentation_only,validation,minimum_breach_designs,10,5,False,not_applicable_discovery_only
stage_a_augmentation_only,validation,minimum_non_breach_runs,14,25,True,not_applicable_discovery_only
stage_a_augmentation_only,validation,minimum_breach_runs,60,25,False,not_applicable_discovery_only
stage_a_augmentation_only,validation,minimum_boundary_region_designs,3,2,False,not_applicable_discovery_only
stage_a_augmentation_only,validation,minimum_distinct_run_margin_values,12,25,True,not_applicable_discovery_only
stage_a_augmentation_only,validation,joint_minimum_class_design_counts,14,5,False,not_applicable_discovery_only
stage_a_augmentation_only,validation,joint_minimum_class_run_counts,74,25,False,not_applicable_discovery_only
stage_a_augmentation_only,validation,majority_to_minority_ratio_at_minimum_counts,10,4.2857142857142856,False,not_applicable_discovery_only
stage_a_augmentation_only,test,minimum_non_breach_designs,4,5,True,not_applicable_discovery_only
stage_a_augmentation_only,test,minimum_breach_designs,10,5,False,not_applicable_discovery_only
stage_a_augmentation_only,test,minimum_non_breach_runs,14,25,True,not_applicable_discovery_only
