episode_id,timestamp,num_planes,sats_per_plane,nominal_satellites,sequence,max_tle_age_seconds,node_failure_probability,edge_failure_probability,regression_target,classification_target,plane_inference
0,2024-02-01T12:00:00Z,4,5,20,episodes/tgnn_sequences/episode_0000.json,28094.971392,0.01928522060954674,0.7141280353200883,0.45,1,"{'candidate_operational_isl_satellites': 1508, 'inferred_plane_count': 99, 'eligible_plane_count': 85, 'selected_raan_centers_deg': [342.43035651, 4.51522501, 9.40440006, 14.32711576], 'raan_cluster_max_gap_deg': 1.0}"
1,2024-02-03T20:06:25Z,4,6,24,episodes/tgnn_sequences/episode_0001.json,60368.182144,0.021117219603408316,0.5755711775043937,0.3333333333333333,1,"{'candidate_operational_isl_satellites': 1650, 'inferred_plane_count': 99, 'eligible_plane_count': 73, 'selected_raan_centers_deg': [54.37805159, 5.19555242, 10.14248421, 15.24938283], 'raan_cluster_max_gap_deg': 1.0}"
2,2024-02-06T04:12:51Z,4,7,28,episodes/tgnn_sequences/episode_0002.json,84142.526784,0.026136452068348325,0.7579806978470676,0.2857142857142857,1,"{'candidate_operational_isl_satellites': 1649, 'inferred_plane_count': 103, 'eligible_plane_count': 72, 'selected_raan_centers_deg': [2.16427242, 6.9707, 11.91830596, 16.6544001], 'raan_cluster_max_gap_deg': 1.0}"
3,2024-02-08T12:19:16Z,4,8,32,episodes/tgnn_sequences/episode_0003.json,39793.89424,0.02856575857468882,0.7626666666666667,0.15625,1,"{'candidate_operational_isl_satellites': 1641, 'inferred_plane_count': 98, 'eligible_plane_count': 76, 'selected_raan_centers_deg': [2.85915501, 7.87958567, 12.56988103, 17.43255491], 'raan_cluster_max_gap_deg': 1.0}"
4,2024-02-10T20:25:41Z,5,5,25,episodes/tgnn_sequences/episode_0004.json,58319.053184,0.03024195756706135,0.77,0.2,1,"{'candidate_operational_isl_satellites': 1634, 'inferred_plane_count': 91, 'eligible_plane_count': 76, 'selected_raan_centers_deg': [341.9424624, 3.52864877, 8.46134999, 13.5649333, 18.38575001], 'raan_cluster_max_gap_deg': 1.0}"
5,2024-02-13T04:32:06Z,5,6,30,episodes/tgnn_sequences/episode_0005.json,28395.258336,0.03194495771831047,0.8016359918200409,0.13333333333333333,1,"{'candidate_operational_isl_satellites': 1653, 'inferred_plane_count': 90, 'eligible_plane_count': 73, 'selected_raan_centers_deg': [31.13898358, 5.86248415, 15.90766304, 25.82755489, 35.85230613], 'raan_cluster_max_gap_deg': 1.0}"
6,2024-02-15T12:38:32Z,5,7,35,episodes/tgnn_sequences/episode_0006.json,31702.980032,0.03197220362755411,0.7742690058479532,0.11428571428571428,1,"{'candidate_operational_isl_satellites': 1647, 'inferred_plane_count': 102, 'eligible_plane_count': 74, 'selected_raan_centers_deg': [6.35485713, 16.27004719, 26.16783504, 30.90884463, 36.02063026], 'raan_cluster_max_gap_deg': 1.0}"
7,2024-02-17T20:44:57Z,5,8,40,episodes/tgnn_sequences/episode_0007.json,62078.865792,0.032279266778646024,0.7895522388059701,0.125,1,"{'candidate_operational_isl_satellites': 1652, 'inferred_plane_count': 95, 'eligible_plane_count': 69, 'selected_raan_centers_deg': [6.0506053, 16.59231014, 20.61315012, 25.55773852, 34.32184691], 'raan_cluster_max_gap_deg': 1.0}"
8,2024-02-20T04:51:22Z,6,5,30,episodes/tgnn_sequences/episode_0008.json,50557.750816,0.031802661977878184,0.7462585034013606,0.2,1,"{'candidate_operational_isl_satellites': 1645, 'inferred_plane_count': 106, 'eligible_plane_count': 80, 'selected_raan_centers_deg': [4.84748003, 9.56542227, 14.62644005, 19.76217147, 22.16267306, 24.41416659], 'raan_cluster_max_gap_deg': 1.0}"
9,2024-02-22T12:57:48Z,6,6,36,episodes/tgnn_sequences/episode_0009.json,79757.24304,0.032472205049204915,0.6721590909090909,0.3333333333333333,1,"{'candidate_operational_isl_satellites': 1671, 'inferred_plane_count': 116, 'eligible_plane_count': 86, 'selected_raan_centers_deg': [90.1706623, 5.08821585, 10.3023501, 12.82604472, 15.03540769, 20.09604006], 'raan_cluster_max_gap_deg': 1.0}"
10,2024-02-24T21:04:13Z,6,7,42,episodes/tgnn_sequences/episode_0010.json,57521.729728,0.03259284415766027,0.6741784037558686,0.16666666666666666,1,"{'candidate_operational_isl_satellites': 1689, 'inferred_plane_count': 102, 'eligible_plane_count': 70, 'selected_raan_centers_deg': [3.20859499, 9.75790482, 15.48771277, 19.57248386, 25.09637012, 30.08794999], 'raan_cluster_max_gap_deg': 1.0}"
11,2024-02-27T05:10:38Z,6,8,48,episodes/tgnn_sequences/episode_0011.json,33684.070976,0.03395166040614529,0.7919381107491856,0.14583333333333334,1,"{'candidate_operational_isl_satellites': 1692, 'inferred_plane_count': 89, 'eligible_plane_count': 72, 'selected_raan_centers_deg': [3.15587778, 7.0585548, 13.05191361, 18.00722901, 22.98564501, 28.13092592], 'raan_cluster_max_gap_deg': 1.0}"
12,2024-02-29T13:17:03Z,4,5,20,episodes/tgnn_sequences/episode_0012.json,84201.980064,0.03487332900591727,0.882803943044907,0.25,1,"{'candidate_operational_isl_satellites': 1687, 'inferred_plane_count': 101, 'eligible_plane_count': 78, 'selected_raan_centers_deg': [2.9540684, 8.13190383, 13.58227216, 18.83268922], 'raan_cluster_max_gap_deg': 1.0}"
13,2024-03-02T21:23:29Z,4,6,24,episodes/tgnn_sequences/episode_0013.json,72722.784992,0.03564411492122335,0.7552631578947369,0.20833333333333334,1,"{'candidate_operational_isl_satellites': 1699, 'inferred_plane_count': 99, 'eligible_plane_count': 81, 'selected_raan_centers_deg': [30.23810401, 5.11296999, 10.05774634, 14.9901894], 'raan_cluster_max_gap_deg': 1.0}"
14,2024-03-05T05:29:54Z,4,7,28,episodes/tgnn_sequences/episode_0014.json,53651.5464,0.036155665369148514,0.7403273809523809,0.35714285714285715,1,"{'candidate_operational_isl_satellites': 1706, 'inferred_plane_count': 101, 'eligible_plane_count': 78, 'selected_raan_centers_deg': [1.51353158, 6.4748174, 11.55677644, 17.75307193], 'raan_cluster_max_gap_deg': 1.0}"
15,2024-03-07T13:36:19Z,4,8,32,episodes/tgnn_sequences/episode_0015.json,39550.239712,0.03484896015943607,0.7794117647058824,0.15625,1,"{'candidate_operational_isl_satellites': 1645, 'inferred_plane_count': 104, 'eligible_plane_count': 70, 'selected_raan_centers_deg': [1.35419001, 6.72883056, 14.94485887, 22.49748876], 'raan_cluster_max_gap_deg': 1.0}"
16,2024-03-09T21:42:45Z,5,5,25,episodes/tgnn_sequences/episode_0016.json,67971.38544,0.03438661710037175,0.8191214470284238,0.2,1,"{'candidate_operational_isl_satellites': 1677, 'inferred_plane_count': 106, 'eligible_plane_count': 83, 'selected_raan_centers_deg': [6.46036937, 16.249506, 18.23736699, 21.28967887, 26.30601275], 'raan_cluster_max_gap_deg': 1.0}"
