run_id,design_id,artifact_bytes,g1_bytes,g2_bytes,g3_bytes,g4_run_bytes,g4_steps_bytes,g5_realization_bytes,g5_run_bytes,g5_steps_bytes,satellite_bytes
0,P01,4201155,1320,2605735,1523449,1932,22587,1376,3635,37928,3193
1,P01,4136861,1320,2605785,1458274,1954,22890,1377,3657,38411,3193
2,P01,4164593,1320,2605762,1486469,1968,22728,1377,3671,38105,3193
3,P01,4154867,1320,2605772,1476643,1981,22760,1377,3684,38137,3193
4,P01,4151177,1320,2605858,1472301,1990,22962,1377,3693,38483,3193
5,P02,3890548,1321,2605770,1211522,1972,22818,1376,3754,38763,3252
6,P02,3848721,1321,2605757,1169662,1937,22908,1376,3729,38772,3259
7,P02,3595521,1321,2443443,1078338,2022,22842,1376,3798,38737,3644
8,P02,3817994,1321,2551675,1192310,2003,22929,1376,3729,38945,3706
9,P02,3792449,1321,2551737,1166473,2008,23075,1376,3749,38965,3745
10,P03,1034252,1001,712186,258143,1907,19636,1056,3376,32968,3979
11,P03,984320,1001,658355,260948,1981,19962,1056,3488,33553,3976
12,P03,1190114,1001,820209,304547,1980,20113,1056,3542,33698,3968
13,P03,1150546,1001,793273,292295,1981,19954,1058,3490,33530,3964
14,P03,1153523,1001,793356,295540,1962,19848,1056,3469,33328,3963
15,P04,758152,1001,496058,197838,1977,19677,1056,3543,33080,3922
16,P04,776604,1001,496059,216495,1960,19640,1056,3469,33008,3916
17,P04,727266,1001,469007,194418,1907,19607,1055,3376,32939,3956
18,P04,649688,1001,415197,170072,1960,19762,1056,3467,33238,3935
19,P04,738875,1001,469022,205438,1960,19762,1056,3467,33238,3931
20,P05,296068,776,138221,98824,1892,18198,831,3249,30298,3779
21,P05,294259,777,138245,96980,1891,18204,832,3249,30315,3766
22,P05,278912,777,122083,97318,1902,18360,831,3259,30460,3922
23,P05,285415,777,130162,95729,1904,18358,831,3261,30458,3935
24,P05,334464,777,162496,112467,1902,18360,831,3259,30460,3912
