altitude_km,artifact_bytes,baseline_ground_service_fraction_mean,baseline_ground_service_fraction_min,baseline_overall_service_fraction_mean,baseline_overall_service_fraction_min,civilian_count,configured_satellite_count,design_group_id,design_hash,design_id,dominant_bottleneck,failed_civilian_count,failed_government_count,failed_ground_station_count,failed_military_count,failed_satellite_edge_count,failed_satellite_node_count,failure_adjusted_civilian_service_fraction_mean,failure_adjusted_civilian_service_fraction_min,failure_adjusted_government_service_fraction_mean,failure_adjusted_government_service_fraction_min,failure_adjusted_ground_service_fraction_mean,failure_adjusted_ground_service_fraction_min,failure_adjusted_military_service_fraction_mean,failure_adjusted_military_service_fraction_min,failure_adjusted_overall_service_fraction_mean,failure_adjusted_overall_service_fraction_min,g1_seconds,g2_seconds,g3_seconds,g4_run_summary_hash,g4_seconds,g5_run_summary_hash,g5_seconds,generation_runtime_seconds,generation_status,government_count,ground_bottleneck_timestep_count,ground_design_hash,ground_failure_policy_hash,ground_failure_probability,ground_failure_realization_hash,ground_service_loss_due_to_failures_max,ground_service_loss_due_to_failures_mean,ground_service_policy_hash,ground_threshold_breach_any,ground_threshold_breach_timestep_count,inclination_deg,military_count,operational_ground_station_count,overall_service_loss_due_to_ground_failures_max,overall_service_loss_due_to_ground_failures_mean,overall_threshold_breach_any,overall_threshold_breach_timestep_count,persistence_seconds,pilot_run_summary_schema_version,planes,realization_id,realization_manifest_hash,replay_runtime_seconds,replay_status,run_id,satellite_artifact_hash,satellite_config_hash,satellite_edge_failure_probability,satellite_node_failure_probability,satellite_rollout_seconds,satellites_per_plane,space_bottleneck_timestep_count,space_gcc_fraction_original_mean,space_gcc_fraction_original_min,space_gcc_fraction_surviving_mean,space_gcc_fraction_surviving_min,space_threshold_breach_any,space_threshold_breach_timestep_count,tie_bottleneck_timestep_count,timestep_count,total_generation_seconds,total_ground_station_count,visibility_policy_hash,catalog_hash,satellite_rollout_seed,ground_station_selection_seed,ground_failure_seed,total_run_seconds
1200.0,4201155,0.9727272727272727,0.95,0.9727272727272727,0.95,8,48,P01,d8253c6de6f4bad04a9d6791c1138cc4b47b234c74bc41242a15b4593b71c53f,P01,ground,0,0,0,0,0,0,0.9318181818181818,0.875,1.0,1.0,0.9727272727272727,0.95,1.0,1.0,0.9727272727272727,0.95,0.0003808000183198601,0.3878664000076242,0.2665049000061117,51c45682ea5d6ef2985401567152559449d459c304cb45284d084ca50e390139,0.5676926999876741,677a19e006257a7db81f1d85fef20a423fb9aa7a4af5f5838c60c9128ac6718a,0.5679286000085995,2.1476020999834873,success,6,6,2bbd67e2766e7d932e8f93b100a2c3e3248f71baa823a21eb6e45bff935f779b,d29cac302069099deb9014e0ec6a0018d039cc42a075587cc604a671c779d6c7,0.0,07f18d3c1a8f8a8693a4f32403ed88fdf5e3d279b77e96b93b517579f408959a,0.0,0.0,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,False,0,98.0,6,20,0.0,0.0,False,0,0.16000810003606603,1,6,R01,a21215ae924810f7fac351434dc9756ad4b68f0bd37e8d467e2240e36fa7829d,2.7294110999791883,success,0,b1fa6b41a6e3d0063fd7fd305d0cfe952143f9005a51ae57cc97d1246fd2d1db,92f1b86bfbaa35f446279c7b21a422ca894db76f6de018bb2197b40d9c20efef,0.0,0.0,0.1964025000052061,8,0,1.0,1.0,1.0,1.0,False,0,5,11,2.1476020999834873,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,7354080756714418247,8343673171039191876,783383988117819731,4.877013199962676
1200.0,4136861,0.9227272727272727,0.9,0.9227272727272727,0.9,8,48,P01,d8253c6de6f4bad04a9d6791c1138cc4b47b234c74bc41242a15b4593b71c53f,P01,ground,0,0,0,0,0,0,0.875,0.875,1.0,1.0,0.9227272727272727,0.9,0.9090909090909091,0.8333333333333334,0.9227272727272727,0.9,0.00034059997415170074,0.3630731999874115,0.24751030001789331,58104d84642f8437240577d78e90203eb659abaa66862dc9537f1ec5e8ba29e4,0.5392782000126317,6ab2d401bf27eda58f633e0da81a3652f81ac95a39dc01ac3ba147aab2b64eeb,0.5609765000117477,1.8581015999952797,success,6,11,a49b63b71be47f402dd5497cf6f3f5ed701b0e6361290429c2f6a4b1e964bf1a,d29cac302069099deb9014e0ec6a0018d039cc42a075587cc604a671c779d6c7,0.0,9c3be97d6fed996386e3b4918df8dce4294fe798877e1297366bd6b6c90bc283,0.0,0.0,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,False,0,98.0,6,20,0.0,0.0,False,0,0.12936989997979254,1,6,R02,394194ece64c303fc757755e1ffd0205dca6c88b845eb81d1aa12da207bd05c6,2.4222391999792308,success,1,1c31ad0d48b34af296de40967bb401b1c607145a16270fbe8a46c485c691998a,da9f6f837836a24489a33c74b935082da70450e01f4833fe92cac48a071df84e,0.0,0.0,0.016924900002777576,8,0,1.0,1.0,1.0,1.0,False,0,0,11,1.8581015999952797,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,4777198855039929175,8961992421123477142,6230985102763056312,4.2803407999745104
1200.0,4164593,0.9636363636363636,0.9,0.9636363636363636,0.9,8,48,P01,d8253c6de6f4bad04a9d6791c1138cc4b47b234c74bc41242a15b4593b71c53f,P01,ground,0,0,0,0,0,0,0.9886363636363636,0.875,1.0,1.0,0.9636363636363636,0.9,0.893939393939394,0.8333333333333334,0.9636363636363636,0.9,0.00030980000155977905,0.3684853999875486,0.24632170001859777,857cc63b493b362eae83072123d89a214752b9dcd7001b984f589df8e4d975bc,0.5465830999892205,1223405d3ff9af8621dca581d70bb83900d6f59776602c727f7968ce3335a02c,0.5638027999957558,1.873697799979709,success,6,7,ed1eb41a618ca8713a8396b4d41bbdb60a0be57f888b6c50d450eb04c645afd0,d29cac302069099deb9014e0ec6a0018d039cc42a075587cc604a671c779d6c7,0.0,83518e1d7518b1d638cf55deb6fc2784f30ebdb718340b7626f350356307b3bc,0.0,0.0,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,False,0,98.0,6,20,0.0,0.0,False,0,0.13075199999730103,1,6,R03,e7a11dcea73fcb7fe8bb9edcff8e4148b8fff5269d8d7652fbcc9d9e806e0536,2.4719313999812584,success,2,89beff0bcac7ffdfa7bb4c3a8b0d1b86cfc45da1da9e79bf075ccdb008a73e58,82ec531683d2a8cf6a8256381ee859079a00d82c74bb394aa18289c79397944f,0.0,0.0,0.016812699992442504,8,0,1.0,1.0,1.0,1.0,False,0,4,11,1.873697799979709,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,3240211185010525755,2396006774214106506,4241583741886679324,4.3456291999609675
1200.0,4154867,0.9590909090909091,0.9,0.9590909090909091,0.9,8,48,P01,d8253c6de6f4bad04a9d6791c1138cc4b47b234c74bc41242a15b4593b71c53f,P01,ground,0,0,0,0,0,0,1.0,1.0,0.9242424242424242,0.8333333333333334,0.9590909090909091,0.9,0.9393939393939394,0.8333333333333334,0.9590909090909091,0.9,0.0003065000055357814,0.3608857999788597,0.24777570000151172,c9f256a50ef846a86f446bac7df9266180341b26a7fd15208fca17979132664b,0.5391269999963697,7333c16cc035aac8bad2f7b3bf40675629bbb604ee14421f6871eacc39e54a81,0.5598733000224456,1.8573689000040758,success,6,7,46531d2a197cc1f8ca20a260c59699e04aa5b0f440f3c5fdcfd3f6f3e5d8e6a9,d29cac302069099deb9014e0ec6a0018d039cc42a075587cc604a671c779d6c7,0.0,24a360ddc9fd7506ead7cc5fd7ebcfc96f3d49422c00b8809abe0653682041f1,0.0,0.0,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,False,0,98.0,6,20,0.0,0.0,False,0,0.1321950000419747,1,6,R04,131f9dc4391db8e4d82c404a30d8357e9b7c8511193562da78bb88d2c9245898,2.432979500008514,success,3,8ebd972b839b2a84d58032e4bb0e1580ea5794e87888039a7e02885a8ed82bf9,035806bb5022ecc243778d218606ae5e55ef4b9402a71f21e86938ae1445d3d3,0.0,0.0,0.016609599988441914,8,0,1.0,1.0,1.0,1.0,False,0,4,11,1.8573689000040758,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,1214286523638489501,2332222115779944512,5975332100353110568,4.29034840001259
1200.0,4151177,0.8863636363636364,0.85,0.8863636363636364,0.85,8,48,P01,d8253c6de6f4bad04a9d6791c1138cc4b47b234c74bc41242a15b4593b71c53f,P01,ground,0,0,0,0,0,0,0.875,0.875,0.9696969696969696,0.8333333333333334,0.8863636363636364,0.85,0.8181818181818182,0.6666666666666666,0.8863636363636364,0.85,0.0006360000115819275,0.4240152999991551,0.2472655999881681,ba1c3627eabd33ca7d6ff82a886023046d59990cd41f27a5773869a79497bc57,0.5421030000143219,ad8b6479be675956497bf29953326151b4bf0b5b3ee33ef7e0f4dcc8512513cd,0.5597079999861307,1.9323370000056457,success,6,11,f742662485208471693a519009db046144c9401729985d1ba3553c71512c02d9,d29cac302069099deb9014e0ec6a0018d039cc42a075587cc604a671c779d6c7,0.0,cfc45228440583db86b85102909b7afe6afa3d563610ac558adec2bc09da2b68,0.0,0.0,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,False,0,98.0,6,20,0.0,0.0,False,0,0.14015469994046725,1,6,R05,543c7bb5dfa4fea1f191426293d0c1d4232cb80d2e3e9affeb461f62178128a8,2.3825733000121545,success,4,7771590e94ce92287a446ba9602f02d60f4b3e3e68622e6a404b5b92c05c1bbc,0c47c7b193c318a7e0b428aced0ec6a2864093947a1ab298d2ef15784eb1ed8d,0.0,0.0,0.017514299979666248,8,0,1.0,1.0,1.0,1.0,False,0,0,11,1.9323370000056457,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,8768521586054549031,6539466840167791179,1433432981960361799,4.3149103000178
800.0,3890548,0.9181818181818181,0.8,0.9181818181818181,0.8,12,48,P02,a1b08ae4f395b1d9c57f8d27a4d04097602278e43def9bde02b1b95dab95b37b,P02,ground,1,1,2,0,3,0,0.8257575757575758,0.6666666666666666,0.7045454545454546,0.5,0.8181818181818182,0.7,0.9090909090909091,0.75,0.8181818181818182,0.7,0.00031300002592615783,0.3642567000060808,0.2174267000227701,80b4065b1d8cedf9fb3073d9fcb7c28f300e3a832f181e58e1cdb7a8243958e0,0.5055157000024337,c0d39264414c2b1ee8dd42555990a3a988d3bae9ce2d5ca465b6d39e2df66026,0.5230767000175547,1.7560116999957245,success,4,11,417e65741e97421cc42ed4a458572547cd7634712acffa071b77ca2a29b8f35e,6c70000af244c32df77b676f0c195ec319906e5503dfd35289d18be180e6eefe,0.05,b87b6314629e7e0cc0f43088e6d4abdf0e2bdfd6d72d0519e2c3286d8497f4ee,0.10000000000000009,0.09999999999999999,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,True,3,60.0,4,18,0.10000000000000009,0.09999999999999999,True,3,0.12842980003915727,1,6,R01,c088ed20c626e742dc323b6990ae53006bade9fcfafa8606e26e881fdca05950,2.2756601000146475,success,5,c3c4e2b13809c1748ff262e2654ee14a5759591513b2417e4fa788dd33cd7316,1d6264e217a4b93a8e4bb8e2d4887d5e50ce23b11089f4f9a887b007a4bbd1fc,0.05,0.05,0.016323999996529892,8,0,1.0,1.0,1.0,1.0,False,0,0,11,1.7560116999957245,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,7627631651407182776,1602282306738544356,5323818421608054946,4.031671800010372
800.0,3848721,0.859090909090909,0.75,0.859090909090909,0.75,12,48,P02,a1b08ae4f395b1d9c57f8d27a4d04097602278e43def9bde02b1b95dab95b37b,P02,ground,1,0,1,0,4,0,0.7575757575757577,0.6666666666666666,0.9318181818181818,0.75,0.8090909090909091,0.7,0.8409090909090909,0.5,0.8090909090909091,0.7,0.0003133999998681247,0.34727540001040325,0.20977790001779795,0f41b83852b36d9de5df280da63752cc58da28c5dd4bbbac93b5bd96f298e3fc,0.49701620000996627,d8cb3d9601cd5cca1a765e4117555686c9f174d526c4897e073bd3c37ece5ca1,0.5044974000193179,1.7050528000108898,success,4,11,8a46583e638b802e6e24a151d698e0b654c92c396c9620ceb5285ecd53ab91fc,6c70000af244c32df77b676f0c195ec319906e5503dfd35289d18be180e6eefe,0.05,9798f3b6b7f8dce0f1d2734f935f16fea3873aed27672bdb2a40aa307c277b5d,0.050000000000000044,0.04999999999999998,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,True,3,60.0,4,19,0.050000000000000044,0.04999999999999998,True,3,0.12964849997661076,1,6,R02,128e88bc85e97f9d8892ad67e289b953f922e382ec99eefd28a35130abf6e7bb,2.250421400007326,success,6,46818616bb3afd3240a6c8bd6884440fb880042bfeb948ccaba20b22382a2a45,04d8307e67a9857573cc397b7133711a2ffb42d0ef807311e7ec48690168f156,0.05,0.05,0.01587689999723807,8,0,1.0,1.0,1.0,1.0,False,0,0,11,1.7050528000108898,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,6616264014491749153,3292737602151419631,5878096360874265457,3.955474200018216
800.0,3595521,0.8045454545454546,0.75,0.8045454545454546,0.75,12,48,P02,a1b08ae4f395b1d9c57f8d27a4d04097602278e43def9bde02b1b95dab95b37b,P02,ground,1,0,2,1,8,3,0.6515151515151515,0.5833333333333334,0.8636363636363636,0.75,0.7045454545454546,0.65,0.7045454545454546,0.5,0.7045454545454546,0.65,0.00031549998675473034,0.33806080001522787,0.19069329998455942,2c262d45e359a008ec42d24fbf22acf507e092725144ab1b214ad8a687ec90c1,0.4698913000174798,8ac1926a526bfea5d0ee6002776b0f1c621a4083974fe10ddbd9d46baad52ab3,0.4817256999958772,1.6127229999983683,success,4,11,082423c171da607aba22ffc00b4d45cd11148f6d0777dc22546cf8584ef79b07,6c70000af244c32df77b676f0c195ec319906e5503dfd35289d18be180e6eefe,0.05,074af2d4c26c01e6b0de44e335ed5de998a187829ba6448784dc1a3bf7343490,0.10000000000000009,0.1,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,True,11,60.0,4,18,0.10000000000000009,0.1,True,11,0.11535190005088225,1,6,R03,78ae22da1b09e6fe3195f621c4e26c40e751b7fcca42d306af7a9766afbe4162,2.1175195000250824,success,7,2b2112688f11a12d6c64d73a080c6cb1ec5c3ccd71d4597e1dbd9d821fa0e43a,8511d07865a2c3fa292b2c733479ca5a5a66d0cf321f6d6757c3a137dcf93317,0.05,0.05,0.01606530000572093,8,0,0.9261363636363636,0.8958333333333334,0.9878787878787879,0.9555555555555556,False,0,0,11,1.6127229999983683,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,1802394594324910753,5885762374393669245,4428655624781526749,3.7302425000234507
800.0,3817994,0.9454545454545454,0.8,0.9359848484848484,0.8,12,48,P02,a1b08ae4f395b1d9c57f8d27a4d04097602278e43def9bde02b1b95dab95b37b,P02,ground,1,0,1,0,1,1,0.8787878787878788,0.75,0.8409090909090909,0.5,0.8954545454545454,0.75,1.0,1.0,0.8954545454545454,0.75,0.00032789999386295676,0.3374412000121083,0.21349160000681877,adb1a5ef458501b2ac23f35505f5174a70536d99526fafbef5ca90951b8f3e24,0.4985877999861259,ef61f90f054555cd1ee362d94a26d49af3ef65d44a36cfc7ee37c31119d9a8e8,0.5121914999908768,1.7052065999887418,success,4,11,ed1eebabccb6e223242fbc92a024e726bc33a40b2bd26e440187674a7b7cbfd7,6c70000af244c32df77b676f0c195ec319906e5503dfd35289d18be180e6eefe,0.05,a58381613b94123b5d2f969f5c3386cf2c4a425d4d85e4f7eb3bd4334e97a366,0.050000000000000044,0.050000000000000024,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,True,1,60.0,4,19,0.050000000000000044,0.040530303030303035,True,1,0.12670669998624362,1,6,R04,2ef18373271ee39ee43c5f10222f8e42e91cbb392a266b2a44d8881fa5019df7,2.232559299998684,success,8,3924e09751f508ba12f8dfeb6f5bc6cfa9ef6417b33b89ffdc7ecc3659d88bca,fd10f4251a9fe03c72abbcc74a8d8db401a5df69e6e31532c4d2bd686364592e,0.05,0.05,0.0157640999823343,8,0,0.9791666666666665,0.9791666666666666,1.0,1.0,False,0,0,11,1.7052065999887418,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,863719451813437471,7094484901833588186,7689728131605232437,3.9377658999874257
800.0,3792449,0.9,0.8,0.9,0.8,12,48,P02,a1b08ae4f395b1d9c57f8d27a4d04097602278e43def9bde02b1b95dab95b37b,P02,ground,0,1,1,0,6,1,0.9242424242424242,0.8333333333333334,0.5,0.25,0.85,0.75,0.9772727272727273,0.75,0.85,0.75,0.0003045000194106251,0.35700429999269545,0.20493060001172125,b567b72f54ab7b445086386d96a8b97c7f5b7f7f9e6c3f0d7ad1cbe2e384cd1b,0.4909517999913078,deb57683dbc9c3a9469750aab7f5079876de55b367fe7e7ec086ab99898ad2b4,0.5111602000251878,1.707656999991741,success,4,11,e3c48e097099893675d53b23f31efa13dbf4e1187b8e271340c4a65c4d33a672,6c70000af244c32df77b676f0c195ec319906e5503dfd35289d18be180e6eefe,0.05,2df1544a7366809aaf748621d48084bcaa77ced42b46e4422e491b8025d7dddb,0.050000000000000044,0.05,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,True,2,60.0,4,19,0.050000000000000044,0.05,True,2,0.12657690001651645,1,6,R05,5111eef174bb77941a0af3bf4af71bc7fd70aea2141167133934bcbee44c0118,2.2206606999970973,success,9,295d04cebe960df652961d4ba24eff31405e156d2b51683d4dc95565bc2025bd,67477762660adc5df93bfc9225076e33b13a01def3148f9d9bdeebe794ce5253,0.05,0.05,0.016122399974847212,8,0,0.9791666666666665,0.9791666666666666,1.0,1.0,False,0,0,11,1.707656999991741,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,810c64dfb030b042311c90f2f42f8dee866a48fc63a6a29e362ee328c52eaa6e,3044070200687383567,3144205508565428603,5575277699284186584,3.9283176999888383
