global_run_id,run_key,design_id,realization_id,partition,run_record_hash,design_record_hash,design_construction_seed,ground_selection_seed,satellite_failure_seed,ground_failure_seed
500,SA-D000-R00,SA-D000,R00,development,8b6acf37f0931798102558405fb750dfdd5c1ff7019f4e159727ee2c3bd4e226,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,5916678999519018533,2020593355045750617,3637353829212594445,4705388230059062607
501,SA-D000-R01,SA-D000,R01,development,4f2f671ff1589ac5ddf70575d5ea61411485c1db846d501c77b4371fb2a01794,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,5916678999519018533,2020593355045750617,1672807954566102762,8352699344352948264
502,SA-D000-R02,SA-D000,R02,development,7e12e9757a2894b453ceab862b49d973be531d4bf8411ec8044c18a5ea111541,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,5916678999519018533,2020593355045750617,4234596189870135025,5582179345025295491
503,SA-D000-R03,SA-D000,R03,development,3aa8f1371ed461e5c7671fc940522726cacbfd40a2d46ecdb22b1ba2a3601ac1,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,5916678999519018533,2020593355045750617,5846465658846692397,6372864753520296650
504,SA-D000-R04,SA-D000,R04,development,009571d2c0df3c47cdf2ce86be11cd9e8ff89a9ef89a53c6820b6473fc5322cc,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,5916678999519018533,2020593355045750617,2013430866090993280,1092096469416631456
505,SA-D001-R00,SA-D001,R00,development,bbdd7bfab8bb69fe4cf7561a155394ce5ce095a7999dfb54d7c3d89396de74d2,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,195543672308651180,7418058890583167870,6583194007119487122,8791740095970083844
506,SA-D001-R01,SA-D001,R01,development,067c907c6c9aa89ab05dd9796b0bc26171c9f82f482b73e779ca007a0cd3f906,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,195543672308651180,7418058890583167870,1310925541743932018,829850516229926246
507,SA-D001-R02,SA-D001,R02,development,d795c1849aefea6ddad22789a6c548804d4434cd235e22e33f837898e13f943a,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,195543672308651180,7418058890583167870,1314283896538075492,5186673681554697005
508,SA-D001-R03,SA-D001,R03,development,bf0853f33cdba002be2b11470d910ce953a324c1931dec762a13c1015a928459,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,195543672308651180,7418058890583167870,7065747724757872950,3927883945122411823
509,SA-D001-R04,SA-D001,R04,development,8a4c366b292505e4f5d1120fbb6b6a63365c3e555d89fe8622fc5dd2325471a5,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,195543672308651180,7418058890583167870,8056869969343401211,2693207783500396121
510,SA-D002-R00,SA-D002,R00,development,369a272fcaf32acf414e656755ad321200d95d1d6ebb4e5abb5578d71b977bf6,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,6778293294387762737,932991987993814567,4291910643328677957,8321120937219153208
511,SA-D002-R01,SA-D002,R01,development,7873b692a9ccfc69ae3ff5f107a470157da0184eafd9e1fd6fd3d6b0506b52d9,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,6778293294387762737,932991987993814567,5100538993103441919,1515829952960441880
512,SA-D002-R02,SA-D002,R02,development,4febe7bb25002f88cfb0a31cecb883b05b2550aa610c93bf241f11968b6d134f,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,6778293294387762737,932991987993814567,8168371564683399873,6394350100956503150
513,SA-D002-R03,SA-D002,R03,development,f40793593b32f62b732864a7993752eb4633e8bfd0d6084ad2420b641c28b5c8,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,6778293294387762737,932991987993814567,8376596793364873928,6261615799566101119
514,SA-D002-R04,SA-D002,R04,development,bf804f6c7f7312841d90d43946abe47b5e0332d76c05f592d2171e7d015cfd9c,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,6778293294387762737,932991987993814567,6012058257497701615,4268565832645425363
515,SA-D003-R00,SA-D003,R00,development,edb82eab370c73aff6ee02f89ee0721b9655fe382c5d7c6ac102f11b768f08e8,e33667f2f78bf49bb9b3cc3c4868e06178679c741ee1a2cb193516fbe641c1f7,4919380640891708867,3988956810252228221,7068806681834459952,9015558533846673748
516,SA-D003-R01,SA-D003,R01,development,083cd5194776806c0078e2a96d0cf92fca6b8b0785951feebec3e02eabbb0ad7,e33667f2f78bf49bb9b3cc3c4868e06178679c741ee1a2cb193516fbe641c1f7,4919380640891708867,3988956810252228221,1716068294553027231,5478433021767392545
