scope,first_design_id,first_partition,second_design_id,second_partition,normalized_distance
stage_a_pair,SA-D000,development,SA-D001,development,0.21454334672563719
stage_a_pair,SA-D000,development,SA-D002,development,0.43843046523923151
stage_a_pair,SA-D000,development,SA-D003,development,0.6634922150385828
stage_a_pair,SA-D000,development,SA-D004,development,0.39923618816427159
stage_a_pair,SA-D000,development,SA-D005,development,0.31267632261149703
stage_a_pair,SA-D000,development,SA-D006,development,0.59127260158237671
stage_a_pair,SA-D000,development,SA-D007,development,0.73779736277928765
stage_a_pair,SA-D000,development,SA-D008,validation,0.24929197876825193
stage_a_pair,SA-D000,development,SA-D009,validation,0.64128277253974564
stage_a_pair,SA-D000,development,SA-D010,sealed_holdout,0.35847665784640609
stage_a_pair,SA-D000,development,SA-D011,sealed_holdout,0.79544825584076018
stage_a_pair,SA-D000,development,SA-D012,development,0.79876917430152805
stage_a_pair,SA-D000,development,SA-D013,development,0.86882266985150725
stage_a_pair,SA-D000,development,SA-D014,development,0.95589543969670221
stage_a_pair,SA-D000,development,SA-D015,development,1.0489303950160038
stage_a_pair,SA-D000,development,SA-D016,development,0.8554209189189097
stage_a_pair,SA-D000,development,SA-D017,development,0.99009090742078443
stage_a_pair,SA-D000,development,SA-D018,development,0.83157924386748527
stage_a_pair,SA-D000,development,SA-D019,development,1.0694495667185264
stage_a_pair,SA-D000,development,SA-D020,validation,0.90178177453041197
stage_a_pair,SA-D000,development,SA-D021,validation,1.1758388085591389
stage_a_pair,SA-D000,development,SA-D022,sealed_holdout,0.8614364365694458
stage_a_pair,SA-D000,development,SA-D023,sealed_holdout,1.3320160031192365
stage_a_pair,SA-D000,development,SA-D024,development,2.6665323170472268
stage_a_pair,SA-D000,development,SA-D025,development,1.8796208181013669
stage_a_pair,SA-D000,development,SA-D026,development,1.1884545316646802
stage_a_pair,SA-D000,development,SA-D027,development,1.4338003968287285
stage_a_pair,SA-D000,development,SA-D028,validation,1.7812994719990487
stage_a_pair,SA-D000,development,SA-D029,sealed_holdout,1.8296828484017473
stage_a_pair,SA-D001,development,SA-D002,development,0.22981365223211739
stage_a_pair,SA-D001,development,SA-D003,development,0.45620452116513216
stage_a_pair,SA-D001,development,SA-D004,development,0.29645898108393293
stage_a_pair,SA-D001,development,SA-D005,development,0.27557756466655636
stage_a_pair,SA-D001,development,SA-D006,development,0.40422974944244977
stage_a_pair,SA-D001,development,SA-D007,development,0.56838999978079874
stage_a_pair,SA-D001,development,SA-D008,validation,0.15162699742314573
stage_a_pair,SA-D001,development,SA-D009,validation,0.4701600303643953
stage_a_pair,SA-D001,development,SA-D010,sealed_holdout,0.20895034099864518
stage_a_pair,SA-D001,development,SA-D011,sealed_holdout,0.63526113426157993
stage_a_pair,SA-D001,development,SA-D012,development,0.65022479802580169
stage_a_pair,SA-D001,development,SA-D013,development,0.71055105436490296
stage_a_pair,SA-D001,development,SA-D014,development,0.80242181700234427
stage_a_pair,SA-D001,development,SA-D015,development,0.9046958458656128
stage_a_pair,SA-D001,development,SA-D016,development,0.72675112098352923
stage_a_pair,SA-D001,development,SA-D017,development,0.8513439740979587
stage_a_pair,SA-D001,development,SA-D018,development,0.6926707874700796
stage_a_pair,SA-D001,development,SA-D019,development,0.92417202446403823
