corpus_namespace,design_id,design_index,region,partition,sealed,proposal_status,num_planes,sats_per_plane,configured_satellite_count,altitude_km,inclination_deg,phasing_factor,satellite_node_failure_probability,satellite_edge_failure_probability,civilian_count,government_count,military_count,total_ground_station_count,ground_station_failure_probability,ground_selection_policy,fixed_simulation_profile_reference,base_contract_reference,base_contract_specification_hash,duration_minutes,step_seconds,epoch_iso,orbital_engine,max_isl_distance_km,isl_policy,adjacent_search_k,max_inter_plane_links_per_sat,satellite_failure_model,minimum_elevation_deg,space_gcc_threshold,ground_service_threshold,ground_service_policy_hash,visibility_policy_hash,design_parameter_hash,design_construction_seed,ground_selection_seed,design_record_hash
stage_a_discovery_v1,SA-D000,0,resilient_core,development,False,NOT_FROZEN,6,8,48,1200,98,1,0,0,9,6,5,20,0,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,6ca48ef097ee4a0bacee7b4b561f379435e5fb3c8188a91a8681e1202ca26264,5916678999519018533,2020593355045750617,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af
stage_a_discovery_v1,SA-D001,1,resilient_core,development,False,NOT_FROZEN,6,8,48,1100,90,1,0.01,0.01,10,8,7,25,0.01,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,e43521a3898341785775cbc6311f71ed74e8449886ee91d655adb65e9cdbb69e,195543672308651180,7418058890583167870,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588
stage_a_discovery_v1,SA-D002,2,resilient_core,development,False,NOT_FROZEN,6,8,48,1000,80,1,0.02,0.025000000000000001,12,9,9,30,0.02,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,e7e2ba2696e17bfbec9d2eba4e1dbaa14469e37bcbcf00b884886ab4b8f1a1b3,6778293294387762737,932991987993814567,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb
stage_a_discovery_v1,SA-D003,3,resilient_core,development,False,NOT_FROZEN,6,8,48,900,70,1,0.029999999999999999,0.040000000000000001,14,11,10,35,0.029999999999999999,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,ca3ee7ea1c9c0d1549cf93c57a10fb9d0af5a5e1f3bb2983a014dc8ad6ce7941,4919380640891708867,3988956810252228221,e33667f2f78bf49bb9b3cc3c4868e06178679c741ee1a2cb193516fbe641c1f7
stage_a_discovery_v1,SA-D004,4,resilient_core,development,False,NOT_FROZEN,6,8,48,1150,75,1,0.01,0.029999999999999999,8,8,4,20,0.040000000000000001,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,c6bbce1c8ceb605aafd65f547387a692f59093e6b99b5829d78daf28991985b9,675952363214276130,3337033602941796367,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05
stage_a_discovery_v1,SA-D005,5,resilient_core,development,False,NOT_FROZEN,6,8,48,1050,95,1,0.025000000000000001,0.014999999999999999,15,5,5,25,0.02,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,31509e8a888ef9f3edad9344df812d82d36d4f6c64cd6591f89bfb238ea3883b,8061044501700070677,737787036010211928,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce
stage_a_discovery_v1,SA-D006,6,resilient_core,development,False,NOT_FROZEN,6,8,48,950,85,1,0.040000000000000001,0.050000000000000003,6,12,12,30,0.050000000000000003,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,ba70f3d1a4e08f66b31fc0fa2b2b102e45905592efdae8a4dd4a6269a4672a98,4237298627399678523,594543078092959542,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447
stage_a_discovery_v1,SA-D007,7,resilient_core,development,False,NOT_FROZEN,6,8,48,850,65,1,0.050000000000000003,0.059999999999999998,7,7,6,20,0.059999999999999998,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,11207249df0205c81cd1cfab5332ac12a934fb731c5ad385250e2dd70d462dad,6117733926443236447,1997335259903401669,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41
stage_a_discovery_v1,SA-D008,8,resilient_core,validation,False,NOT_FROZEN,6,8,48,1175,88,1,0.014999999999999999,0.02,10,10,5,25,0.014999999999999999,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,5bc62ef2c4889057310832726e4a063520fede91abd6a2a449f47c616b7c8021,849068467057952208,7493953112764446780,6747b1dfe6d1fddc8e42e564ce279872a9811fc1dca50cdfb1ebacd50350ac36
stage_a_discovery_v1,SA-D009,9,resilient_core,validation,False,NOT_FROZEN,6,8,48,875,72,1,0.044999999999999998,0.055,12,6,7,25,0.055,deterministic_catalog_selection_v1,SATNET Final Integrated Production Corpus v1 fixed_profile,final-integrated-dataset-contract-v1@a1967185e80327e4b00c1831828dc975ab6819fc,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,10,60,2000-01-01T12:00:00+00:00,sgp4,10000,grid_fixed,1,1,persistent_temporal_union_edges_v1,10,0.80000000000000004,0.80000000000000004,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1,70620e717fb7bc42f5c8dbcee8f90b85ff5ccf2f909087a3bd47c0e55ad4f890,6097825629301622993,7204847976447666134,df48fc156562af2ed3ecf37f0761b9307dfe92d152d83c562f84347e0af16fed
