corpus_namespace,global_run_id,run_key,design_id,design_index,realization_id,realization_index,region,partition,sealed,design_record_hash,proposal_status,simulation_authorized,run_record_hash
stage_a_discovery_v1,500,SA-D000-R00,SA-D000,0,R00,0,resilient_core,development,False,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,NOT_FROZEN,False,8b6acf37f0931798102558405fb750dfdd5c1ff7019f4e159727ee2c3bd4e226
stage_a_discovery_v1,501,SA-D000-R01,SA-D000,0,R01,1,resilient_core,development,False,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,NOT_FROZEN,False,4f2f671ff1589ac5ddf70575d5ea61411485c1db846d501c77b4371fb2a01794
stage_a_discovery_v1,502,SA-D000-R02,SA-D000,0,R02,2,resilient_core,development,False,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,NOT_FROZEN,False,7e12e9757a2894b453ceab862b49d973be531d4bf8411ec8044c18a5ea111541
stage_a_discovery_v1,503,SA-D000-R03,SA-D000,0,R03,3,resilient_core,development,False,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,NOT_FROZEN,False,3aa8f1371ed461e5c7671fc940522726cacbfd40a2d46ecdb22b1ba2a3601ac1
stage_a_discovery_v1,504,SA-D000-R04,SA-D000,0,R04,4,resilient_core,development,False,2bddeef8e61a78a98a77415d0257b8776a4359914d56ec68feed19790fe546af,NOT_FROZEN,False,009571d2c0df3c47cdf2ce86be11cd9e8ff89a9ef89a53c6820b6473fc5322cc
stage_a_discovery_v1,505,SA-D001-R00,SA-D001,1,R00,0,resilient_core,development,False,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,NOT_FROZEN,False,bbdd7bfab8bb69fe4cf7561a155394ce5ce095a7999dfb54d7c3d89396de74d2
stage_a_discovery_v1,506,SA-D001-R01,SA-D001,1,R01,1,resilient_core,development,False,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,NOT_FROZEN,False,067c907c6c9aa89ab05dd9796b0bc26171c9f82f482b73e779ca007a0cd3f906
stage_a_discovery_v1,507,SA-D001-R02,SA-D001,1,R02,2,resilient_core,development,False,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,NOT_FROZEN,False,d795c1849aefea6ddad22789a6c548804d4434cd235e22e33f837898e13f943a
stage_a_discovery_v1,508,SA-D001-R03,SA-D001,1,R03,3,resilient_core,development,False,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,NOT_FROZEN,False,bf0853f33cdba002be2b11470d910ce953a324c1931dec762a13c1015a928459
stage_a_discovery_v1,509,SA-D001-R04,SA-D001,1,R04,4,resilient_core,development,False,00c12c0600553199942014873b2c803ff371a34d3031f34920a26e8805188588,NOT_FROZEN,False,8a4c366b292505e4f5d1120fbb6b6a63365c3e555d89fe8622fc5dd2325471a5
stage_a_discovery_v1,510,SA-D002-R00,SA-D002,2,R00,0,resilient_core,development,False,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,NOT_FROZEN,False,369a272fcaf32acf414e656755ad321200d95d1d6ebb4e5abb5578d71b977bf6
stage_a_discovery_v1,511,SA-D002-R01,SA-D002,2,R01,1,resilient_core,development,False,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,NOT_FROZEN,False,7873b692a9ccfc69ae3ff5f107a470157da0184eafd9e1fd6fd3d6b0506b52d9
stage_a_discovery_v1,512,SA-D002-R02,SA-D002,2,R02,2,resilient_core,development,False,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,NOT_FROZEN,False,4febe7bb25002f88cfb0a31cecb883b05b2550aa610c93bf241f11968b6d134f
stage_a_discovery_v1,513,SA-D002-R03,SA-D002,2,R03,3,resilient_core,development,False,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,NOT_FROZEN,False,f40793593b32f62b732864a7993752eb4633e8bfd0d6084ad2420b641c28b5c8
stage_a_discovery_v1,514,SA-D002-R04,SA-D002,2,R04,4,resilient_core,development,False,8fac7d9e1a20ae34422cbd43a567e4f534668a3aef85e4e86b8a9f451637abeb,NOT_FROZEN,False,bf804f6c7f7312841d90d43946abe47b5e0332d76c05f592d2171e7d015cfd9c
stage_a_discovery_v1,515,SA-D003-R00,SA-D003,3,R00,0,resilient_core,development,False,e33667f2f78bf49bb9b3cc3c4868e06178679c741ee1a2cb193516fbe641c1f7,NOT_FROZEN,False,edb82eab370c73aff6ee02f89ee0721b9655fe382c5d7c6ac102f11b768f08e8
stage_a_discovery_v1,516,SA-D003-R01,SA-D003,3,R01,1,resilient_core,development,False,e33667f2f78bf49bb9b3cc3c4868e06178679c741ee1a2cb193516fbe641c1f7,NOT_FROZEN,False,083cd5194776806c0078e2a96d0cf92fca6b8b0785951feebec3e02eabbb0ad7
stage_a_discovery_v1,517,SA-D003-R02,SA-D003,3,R02,2,resilient_core,development,False,e33667f2f78bf49bb9b3cc3c4868e06178679c741ee1a2cb193516fbe641c1f7,NOT_FROZEN,False,0f054fe580c9a0a2c1c8ed8deb9ea8390d9439072038a1b1a64b56eef045a49b
