corpus_namespace,global_run_id,run_key,design_id,realization_id,design_construction_seed,ground_selection_seed,satellite_failure_seed,ground_failure_seed,seed_policy_version,proposal_status,simulation_authorized
stage_a_discovery_v1,500,SA-D000-R00,SA-D000,R00,5916678999519018533,2020593355045750617,3637353829212594445,4705388230059062607,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,501,SA-D000-R01,SA-D000,R01,5916678999519018533,2020593355045750617,1672807954566102762,8352699344352948264,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,502,SA-D000-R02,SA-D000,R02,5916678999519018533,2020593355045750617,4234596189870135025,5582179345025295491,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,503,SA-D000-R03,SA-D000,R03,5916678999519018533,2020593355045750617,5846465658846692397,6372864753520296650,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,504,SA-D000-R04,SA-D000,R04,5916678999519018533,2020593355045750617,2013430866090993280,1092096469416631456,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,505,SA-D001-R00,SA-D001,R00,195543672308651180,7418058890583167870,6583194007119487122,8791740095970083844,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,506,SA-D001-R01,SA-D001,R01,195543672308651180,7418058890583167870,1310925541743932018,829850516229926246,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,507,SA-D001-R02,SA-D001,R02,195543672308651180,7418058890583167870,1314283896538075492,5186673681554697005,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,508,SA-D001-R03,SA-D001,R03,195543672308651180,7418058890583167870,7065747724757872950,3927883945122411823,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,509,SA-D001-R04,SA-D001,R04,195543672308651180,7418058890583167870,8056869969343401211,2693207783500396121,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,510,SA-D002-R00,SA-D002,R00,6778293294387762737,932991987993814567,4291910643328677957,8321120937219153208,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,511,SA-D002-R01,SA-D002,R01,6778293294387762737,932991987993814567,5100538993103441919,1515829952960441880,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,512,SA-D002-R02,SA-D002,R02,6778293294387762737,932991987993814567,8168371564683399873,6394350100956503150,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,513,SA-D002-R03,SA-D002,R03,6778293294387762737,932991987993814567,8376596793364873928,6261615799566101119,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,514,SA-D002-R04,SA-D002,R04,6778293294387762737,932991987993814567,6012058257497701615,4268565832645425363,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
stage_a_discovery_v1,515,SA-D003-R00,SA-D003,R00,4919380640891708867,3988956810252228221,7068806681834459952,9015558533846673748,satnet.stage_a_seed_policy.v1,NOT_FROZEN,False
