design_id,run_id,run_key,design_index,realization_id,realization_index,split,contract_spec_hash,source_result_path,source_result_sha256,source_scientific_inventory_path,source_scientific_inventory_sha256,source_design_record_hash,source_run_record_hash,source_target_artifact_hash,num_planes,sats_per_plane,configured_satellite_count,altitude_km,inclination_deg,satellite_node_failure_probability,satellite_edge_failure_probability,civilian_count,government_count,military_count,total_ground_station_count,ground_station_failure_probability,partition_any,gcc_frac_min
D001,5,D001-R00,1,R00,0,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_005\result.json,bd6369b1f544c810f6791d50da3e5a5f3b13106e5a3111b7a881a9cccc008b18,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_005\scientific_inventory.json,1713011ed475d90ff7ac311f5aa87bcae702e7c2e208df8058e5a27faa0a70a8,df8bb8d66ba298e0d8c7b5c23d2b1af849223c4d5d2f721f4cb399ee0d7a99d4,aa60f4c84cb4b89f3f86a8b5123f815f2b0ac62791077c9e28f0d134d9298bfd,3df2425dac53268497501fa4d2c662e4f18f4fd388e6776ff688af7cc11838b1,6,8,48,800,60,0.050000000000000003,0.050000000000000003,12,4,4,20,0.050000000000000003,0,0.9375
D001,6,D001-R01,1,R01,1,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_006\result.json,4ed0adeeb736b8755c4526ef1b5afd3e885e33d428e8405d7bcf1a7a3b63890a,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_006\scientific_inventory.json,a3e964b1d79932db75324bc7fcd06774748adff5891321df63512283fc7555c1,df8bb8d66ba298e0d8c7b5c23d2b1af849223c4d5d2f721f4cb399ee0d7a99d4,7d485bf81efea68c2466d93639947bbe8c75720fdd54f77b654420077194f0c4,345b66741675107c9ccced609986fb1c58732b75f2023325592fc9ea718477d6,6,8,48,800,60,0.050000000000000003,0.050000000000000003,12,4,4,20,0.050000000000000003,1,0.9375
D001,7,D001-R02,1,R02,2,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_007\result.json,5d67e0dbd7f6cd4fba3148c7e27662b80901938400d39dd9d504dd4025cc0e9a,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_007\scientific_inventory.json,4cf389211dd6f36f9c2c359aee5f13b4938180d972b4f70cbccc59cfbfc3d357,df8bb8d66ba298e0d8c7b5c23d2b1af849223c4d5d2f721f4cb399ee0d7a99d4,6180144676764f609e44e1dd3307f123dc21c8f3d8654c43d309e223e732d4b9,e47ce6e9a2fb8824f46dcc2293016fff5e0ba7fb719216c11a18aeaa76c05082,6,8,48,800,60,0.050000000000000003,0.050000000000000003,12,4,4,20,0.050000000000000003,0,0.97916666666666663
D001,8,D001-R03,1,R03,3,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_008\result.json,b2f78602fab0eddc5d81708353a3b12eefda7f79a64e6845e1c9f77cc0487b91,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_008\scientific_inventory.json,3684a07d9b893e88eac6f403972f18f9bfc769a719fa52c33be609be912f05cc,df8bb8d66ba298e0d8c7b5c23d2b1af849223c4d5d2f721f4cb399ee0d7a99d4,94c62a0d7595f772dc6a1a70b9606df7c756165099e9f07c12e9c70b7469f146,06328b70dec56360c9dc8faed146e20260aafb14f52dd7aa51f24eba92d993a5,6,8,48,800,60,0.050000000000000003,0.050000000000000003,12,4,4,20,0.050000000000000003,1,0.91666666666666663
D001,9,D001-R04,1,R04,4,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_009\result.json,b28baa853db098c1778cd498a20058ba2e0c209812cfe154b571269e6014fe27,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_009\scientific_inventory.json,c236a9e7c700a8c237a87fe97263fe1710e1386852ca8a89db36d45335ff1191,df8bb8d66ba298e0d8c7b5c23d2b1af849223c4d5d2f721f4cb399ee0d7a99d4,f642b3a2873269cbfe384a5bda57a099f89b880ff76c02db15dc8590db231126,3d7bef49032043c6c5f48cf51a284c7e2b857b18a58cb0aee5a03a8a5872cd62,6,8,48,800,60,0.050000000000000003,0.050000000000000003,12,4,4,20,0.050000000000000003,1,0.89583333333333337
D002,10,D002-R00,2,R00,0,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_010\result.json,a22ca5d3ba4853b06dcc0aee80dbd45025a49e05aa24d294e9ab7ab7b5d8a42e,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_010\scientific_inventory.json,e9451b6425c2f2f3650f4d5ac2124463007eba55ee3481d3d834d74c64a5be5c,70aea21c81105981c5d4182f17bd3b19b39925555f566d91ad15d493fd5bd7bc,2154c0eec3fa16af91775ebcd64845c1bbff69669e3db93480bc07b42be7ba4c,57feae01f65a1de448b1f2f4eba8633ad69307153d60160df596ea84b53c50d6,5,6,30,600,55,0.10000000000000001,0.10000000000000001,4,3,3,10,0.14999999999999999,1,0.066666666666666666
D002,11,D002-R01,2,R01,1,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_011\result.json,d5e60ae13a4d6b57dd218329d0b69dc5314709ad07c734eef99a42d35574874c,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_011\scientific_inventory.json,375b25fa36c38c360310d01f3bce38b6888a62e881c6fdcede456eeab6822b85,70aea21c81105981c5d4182f17bd3b19b39925555f566d91ad15d493fd5bd7bc,9c879f0b7c9bbd840da03973e78bfbf2bc901e98f0857738e0baf26380046685,f694aab04e4e719cb5b9b7849ce999239e753c244a34c72fcd98ba02817d059f,5,6,30,600,55,0.10000000000000001,0.10000000000000001,4,3,3,10,0.14999999999999999,1,0.033333333333333333
D002,12,D002-R02,2,R02,2,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_012\result.json,5bdafe13e70d34516bae08c5df41e420cee419594965618f899198c93aafb2b4,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_012\scientific_inventory.json,85364a3c37bccecf785a524b01bfedfd830957a889ed987edfa67142f1cb90f1,70aea21c81105981c5d4182f17bd3b19b39925555f566d91ad15d493fd5bd7bc,2412db09ab57190e7641af81a21fc0a0e55c4e1d21a3d523aab5774003a9c5f3,af0b9888d2ca70b1df1964cb1a6eddb1f77865e8d4dde2e1a0870362189a8fa7,5,6,30,600,55,0.10000000000000001,0.10000000000000001,4,3,3,10,0.14999999999999999,1,0.066666666666666666
D002,13,D002-R03,2,R03,3,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_013\result.json,d3d76c82ba9187f220de7ff2ed21f2f89d979899fd0f8021f07ab102609dd4c0,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_013\scientific_inventory.json,6ad98380c7a04df519343156d7df23e416b58a779f14cf597da4f64e9a3ce06f,70aea21c81105981c5d4182f17bd3b19b39925555f566d91ad15d493fd5bd7bc,c29c12ac7fb31df6af037c4b970fb8da538e0759f8892926340f205288218e5e,62c507ffcfdc85e8a7a33ef3388bb9c97fb53d023f00c0b1a68384a8cac3348e,5,6,30,600,55,0.10000000000000001,0.10000000000000001,4,3,3,10,0.14999999999999999,1,0.066666666666666666
D002,14,D002-R04,2,R04,4,train,fc13a33a0a1af435189990e54b6c68efa56bbc207c0cae6e27e12bf031605930,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_014\result.json,85af68eebfa8db170c034303011ad3fd10289d3098e780cb5d2d83f18072b1e0,C:\Users\johns\satnet-stage-a-production-generate-v1-activation-20260730-production\run_014\scientific_inventory.json,98affda8e21a4786018962c6d88435c8bf7f7e4dfd6f39d6107e399fe6a7bf85,70aea21c81105981c5d4182f17bd3b19b39925555f566d91ad15d493fd5bd7bc,3e88a397ff4a52689fd96deae438fc1e9e6df175ade5d8728e573cd092c67b2d,0326da52d7cf173eae12735d9d6dbc1571ed591ef5e9efe56a2b68a070cbc03f,5,6,30,600,55,0.10000000000000001,0.10000000000000001,4,3,3,10,0.14999999999999999,1,0.066666666666666666
